id,name,calories,image_url,ingredients,gear,steps
1,アイスコーヒーＲ,9,1.png,[],[],[]
2,アイスカフェラテＲ,71,2.png,[],[],[]
3,ファミチキ（骨なし）,251.7,3.png,[],[],[]
4,ツナマヨネーズおにぎり,251,4.png,[],[],[]
5,ミックスサンドウィッチ,287,5.png,[],[],[]
6,つぶあんぱん,288,6.png,[],[],[]
7,メロンパン,389,7.png,[],[],[]
8,ミルクフランス,337,8.png,[],[],[]
9,メープル＆マーガリンパンケーキ,216,9.png,[],[],[]
10,たまご蒸しパン,359,10.png,[],[],[]
11,つぶあんマーガリン,364,11.png,[],[],[]
12,塩大福,213,12.png,[],[],[]
13,草もち,185,13.png,[],[],[]
14,梅おかかおにぎり,169,14.png,[],[],[]
15,塩むずび,173,15.png,[],[],[]
16,お赤飯むずび,235,16.png,[],[],[]
17,ゆで卵,65,17.png,[],[],[]
18,６Pチーズ,51,18.png,[],[],[]
19,サラダチキンバー60g,59,19.png,[],[],[]
20,豆腐スイーツバーガトーショコラ,81,20.png,[],[],[]
21,ひとくち歌舞伎揚90g,478,21.png,[],[],[]
22,ワッフル,209,22.png,[],[],[]
23,バームクーヘン,372,23.png,[],[],[]
24,しみチョコ,459,24.png,[],[],[]
25,芋けんぴ67g,329,25.png,[],[],[]
26,レーズンサンド3枚,189,26.png,[],[],[]
27,フレンチトースト,370,27.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""フライパン（クッカー）"",
  ""カトラリー""
]
",[]
28,フリーズドライなすのお味噌汁,41,28.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
29,フィリーズドライにゅうめん,50,29.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
30,フリーズドライシチュー,103,30.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
31,フリーズドライ野菜カレー,212,31.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
32,フリーズドライ牛とじ丼の具,114,32.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
33,アルファ米　白飯,366,33.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
34,アルファ米　五目ご飯,377,34.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
35,アルファ米　山菜おこわ,361,35.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
36,フリーズドライ　豚汁,51,36.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
37,カップヌードル,354,37.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
38,カップヌードルカレー,422,38.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
39,カップヌードルカレーBIG,588,39.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
40,カップヌードルシーフードミニ,167,40.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
41,カレーメシ,462,41.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
42,ハヤシメシ,432,42.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""コップ（直火可）"",
  ""カトラリー""
]
",[]
43,味噌ラーメン（袋麺）,448,43.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""クッカー"",
  ""カトラリー""
]
",[]
44,塩ラーメン（袋麺）,455,44.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""クッカー"",
  ""カトラリー""
]
",[]
45,チキンラーメン（袋麺）,377,45.png,"[
  ""水（またはお湯）"",
  ""お好みで卵""
]
","[
  ""バーナー（ストーブ＋ガス）"",
  ""クッカー"",
  ""カトラリー""
]
",[]
46,豚の角煮ラーメン,805,46.png,[],"[
  ""バーナー（ストーブ＋ガス）"",
  ""クッカー"",
  ""カトラリー""
]
","[
  ""１・豚の角煮と水を入れて、その上に麺を置いて（割っても○）火にかける。"",
  ""２・スープを入れて、ネギを散らせば出来上がり！""
]
"
47,海鮮塩ラーメン,623,47.png,"[
  ""袋ラーメン塩"",
  ""カニカマ"",
  ""チーズちくわ"",
  ""おしゃぶり梅昆布"",
  ""水（お湯）""
]
","[
  ""バーナー（ストーブ＋ガス）"",
  ""クッカー"",
  ""カトラリー""
]
","[
  ""１・水（お湯）と昆布とカニカマを入れて火にかける。"",
  ""２・沸騰したら、麺入れて（割っても○）茹でる。"",
  ""３・ちくわは、茹で上がる２分前に入れて、スープを入れて出来上がり！""
]
"
48,味噌トマトラーメン,818,48.png,"[
  ""袋ラーメン味噌"",
  ""ソーセージ5本"",
  ""冷凍ブロッコリー"",
  ""トマトペースト"",
  ""水（お湯）""
]
","[
  ""バーナー（ストーブ＋ガス）"",
  ""クッカー"",
  ""カトラリー""
]
","[
  ""１・水（分量＋50~100ml程度）を沸騰させ、ソーセージ、ブロッコリー、トマトペーストを入れる。"",
  ""２・麺を入れて、茹でる。"",
  ""３・茹で上がったらスープを入れて、少し煮込んで完成！""
]
"
