id,name,calories,Weight,image_url,ingredients,gear,steps,tags,pair_ids,Memo
1,アイスコーヒーＲ,9,0,db/seed_images/recipes/1.png,,,"最寄りのコンビニでGET ※最後のコンビニを逃すな！",drink,,
2,アイスカフェラテＲ,71,0,db/seed_images/recipes/2.png,,,"最寄りのコンビニでGET ※最後のコンビニを逃すな！",drink,,
3,ファミチキ（骨なし）,251.7,0,db/seed_images/recipes/3.png,,,"最寄りのコンビニでGET ※但し、早朝深夜はおいてないぞ！ 登山開始前に消費しよう。持ち運びには向いてないぞ",snack,,
4,ツナマヨネーズおにぎり,251,,db/seed_images/recipes/4.png,,,,,＾,
5,ミックスサンドウィッチ,287,,db/seed_images/recipes/5.png,,,,,,
6,つぶあんぱん,288,,db/seed_images/recipes/6.png,,,,,,
7,メロンパン,389,,db/seed_images/recipes/7.png,,,,,,
8,ミルクフランス,337,,db/seed_images/recipes/8.png,,,,,,
9,メープル＆マーガリンパンケーキ,216,,db/seed_images/recipes/9.png,,,,,,
10,たまご蒸しパン,359,,db/seed_images/recipes/10.png,,,,,,
11,つぶあんマーガリン,364,,db/seed_images/recipes/11.png,,,,,,
12,塩大福,213,,db/seed_images/recipes/12.png,,,,,,
13,草もち,185,,db/seed_images/recipes/13.png,,,,,,
14,梅おかかおにぎり,169,,db/seed_images/recipes/14.png,,,麦茶をかけてお茶漬け風もあり⭐︎,,,
15,塩むずび,173,,db/seed_images/recipes/15.png,,,,,,
16,お赤飯むずび,235,,db/seed_images/recipes/16.png,,,,,,
17,ゆで卵,65,,db/seed_images/recipes/17.png,,,,,,
18,６Pチーズ,51,,db/seed_images/recipes/18.png,,,,,,
19,サラダチキンバー60g,59,,db/seed_images/recipes/19.png,,,タンパク質補給に！,,,
20,豆腐スイーツバーガトーショコラ,81,,db/seed_images/recipes/20.png,,,低カロリーすぎる！,,,
21,ひとくち歌舞伎揚90g,478,,db/seed_images/recipes/21.png,,,湿気には弱いぞ！,,,
22,ワッフル,209,,db/seed_images/recipes/22.png,,,,,,
23,バームクーヘン,372,,db/seed_images/recipes/23.png,,,,,,
24,しみチョコ,459,,db/seed_images/recipes/24.png,,,夏は溶けたら大惨事だ！熱い日はやめておこう！,,,
25,芋けんぴ67g,329,,db/seed_images/recipes/25.png,,,,,,
26,レーズンサンド3枚,189,,db/seed_images/recipes/26.png,,,カバンの中で粉々にならないよう気をつけよう,,,
27,フレンチトースト,370,,db/seed_images/recipes/27.png,"クーリッシュ（バニラ） お好みのパン バター ","バーナー（ストーブ＋ガス） フライパン（クッカー） カトラリー",,Meal,,"クーリッシュバニラ（147kcal 食パン（６枚切り）150kcal バター10g（73kcal）"
28,フリーズドライなすのお味噌汁,41,,db/seed_images/recipes/28.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
29,フィリーズドライにゅうめん,50,,db/seed_images/recipes/29.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
30,フリーズドライシチュー,103,,db/seed_images/recipes/30.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
31,フリーズドライ野菜カレー,212,,db/seed_images/recipes/31.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
32,フリーズドライ牛とじ丼の具,114,,db/seed_images/recipes/32.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
33,アルファ米　白飯,366,,db/seed_images/recipes/33.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
34,アルファ米　五目ご飯,377,,db/seed_images/recipes/34.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
35,アルファ米　山菜おこわ,361,,db/seed_images/recipes/35.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
36,フリーズドライ　豚汁,51,,db/seed_images/recipes/36.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
37,カップヌードル,354,,db/seed_images/recipes/37.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,17,
